family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio,mcblas_runtime_ns,mcblas_tflops,mcblas_err_max,local_vs_mcblas_ratio
gemm_layoutAB_ContinuousC,bf16,4608,176,3584,147923.82717132568,39.29931678462468,133737.92171478271,43.467890553868436,0.9040999294852423,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,192,3584,148523.59890937805,42.698855229527894,131871.5512752533,48.09064264939821,0.8878828162231307,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,208,3584,156847.7600812912,43.80215534120009,136518.85092258453,50.32469805870187,0.870390822615697,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,224,3584,159019.6043252945,46.527296350611756,134238.97325992584,55.116275671103764,0.8441661883733733,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,240,3584,159349.29251670837,49.74753533448415,139297.91748523712,56.90849298475789,0.87416715371128,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,256,3584,163203.10533046722,51.81100474086055,142000.61559677124,59.54704371149404,0.8700852554811171,0.0,tk_local_bf16_continuousc_reusea_n_params,138155.0,61.204714,0.0,1.1813072204664494,,,,
gemm_layoutAB_ContinuousC,bf16,3584,16,3584,103827.565908432,3.9588888403924205,114751.97970867157,3.5820017488459803,1.1052168921100787,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,32,3584,119142.23432540894,6.900018189642745,106686.72621250153,7.7055845013235436,0.8954568194609468,1.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,48,3584,95767.90034770966,12.876186817533073,109458.34219455719,11.265704845119764,1.1429543907420014,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,64,3584,108439.47529792786,15.162072330973535,121017.91799068451,13.586146541758895,1.115995053076368,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,80,3584,104079.02300357819,19.746620411005807,109557.06238746643,18.75925581804501,1.05263346278433,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,96,3584,105887.65144348145,23.291202688694867,111959.87462997437,22.02798779608248,1.0573459048691247,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,112,3584,106891.61717891693,26.917850248106365,116987.15388774872,24.594944388174568,1.0944464774252007,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,128,3584,106830.14988899231,30.78095780467333,116297.97518253326,28.27507814163452,1.0886250305122571,1.0,tk_local_bf16_continuousc_128x128x128_stage4,127487.99999999999,25.793286,0.0,0.8379624235111983,,,,
gemm_layoutAB_ContinuousC,bf16,3584,144,3584,107912.3467206955,34.28130552637247,121533.87069702148,30.439054617312234,1.1262276689393285,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,160,3584,112151.72708034515,36.65050933237354,119529.66451644897,34.38826618169206,1.0657853216189732,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,176,3584,111173.8383769989,40.67017724680323,119559.46683883667,37.817663724569975,1.0754280735850954,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,192,3584,115124.50873851776,42.84492987677531,126384.1986656189,39.02783382794688,1.0978044558059767,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,208,3584,134015.45584201813,39.872589787696924,131594.01714801788,40.60627839934049,0.981931646027047,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,224,3584,141620.63598632812,40.63380345612585,133985.65351963043,42.949263125076946,0.9460884890572391,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,240,3584,144103.541970253,42.78608836188605,136900.69317817688,45.03722177633833,0.950016157177018,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,256,3584,146564.09621238708,44.872303940452795,133147.4632024765,49.39387138002699,0.908458938057596,0.0,tk_local_bf16_continuousc_128x128x128_stage4,129365.00000000001,50.837952,0.0,1.132947219903481,,,,
gemm_layoutAB_ContinuousC,bf16,37888,16,3584,301817.4320459366,14.397110579546133,253589.82384204865,17.135147137081177,0.8402093349049908,1.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,32,3584,303331.76255226135,28.650471071267017,257378.4440755844,33.7658342726162,0.848504758980657,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,48,3584,306408.8523387909,42.5441260345391,262899.32429790497,49.585128705878084,0.858001726422779,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,64,3584,302558.7648153305,57.4473384917762,329239.29393291473,52.79198472446477,1.08818296549389,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,80,3584,308049.84271526337,70.52915375153181,323724.00164604187,67.11425352932477,1.0508818923347623,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,96,3584,308433.54761600494,84.52969485815787,329941.5111541748,79.01944066631008,1.069732892885397,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,112,3584,306284.0551137924,99.31007540271486,329837.2030258179,92.21850151821447,1.0768996868063367,1.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,128,3584,359462.57412433624,96.7065671208816,321922.82378673553,107.98361900251307,0.8955670129802834,0.5,tk_local_bf16_continuousc_128x128x128_stage4,345856.0,100.511171,0.0,1.03934173233926,,,,
gemm_layoutAB_ContinuousC,bf16,37888,144,3584,467348.8438129425,83.67987000231662,483645.12622356415,80.86030102559647,1.034869632451994,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,160,3584,469136.9831562042,92.62324438304167,485172.49524593353,89.56193903360848,1.0341808739567866,1.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,176,3584,467941.16497039795,102.1459362033766,481305.64391613007,99.30963617025255,1.028560169410566,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,192,3584,520227.47695446014,100.23228229554773,480039.045214653,108.62363769739524,0.9227483485203817,1.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,208,3584,570729.3748855591,98.97665821621145,486806.0350418091,116.03982326790276,0.8529542309600272,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,224,3584,520721.07791900635,116.8268153444371,482704.4904232025,126.02780049272945,0.9269924166547432,1.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,240,3584,570025.2950191498,114.34489790108405,491227.9546260834,132.6868382513243,0.8617651864196321,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,37888,256,3584,575084.2392444611,120.89495479017273,484099.6116399765,143.61668845069303,0.8417890434208054,0.5,tk_local_bf16_continuousc_reusea_n_params,613803.0,113.268948,0.0,0.9369203884197768,,,,
gemm_layoutAB_ContinuousC,bf16,3584,16,18944,186173.2453107834,11.670041355153609,191472.47076034546,11.347059258034928,1.0284639473341937,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,32,18944,185394.65963840485,23.438102006147883,195087.86499500275,22.27354809645032,1.052284167060171,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,48,18944,203087.9259109497,32.094219224327496,206949.18930530548,31.49540444144616,1.019012766894123,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,64,18944,212268.9038515091,40.941455532645676,200580.80554008484,43.32716614932149,0.9449373031124683,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,80,18944,255547.46389389038,42.50970522059529,217709.69033241272,49.89785867323277,0.8519344587305753,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,96,18944,314207.7475786209,41.488145764891314,215344.1309928894,60.53518510996913,0.6853558916111898,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,112,18944,317808.24065208435,47.85447436100098,221824.2734670639,68.56123573085043,0.6979815029714809,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,128,18944,315995.88692188263,55.004500043688246,233985.48364639282,74.28322263900388,0.7404700292957813,2.0,tk_local_bf16_continuousc_128x128x128_stage4,425131.0,40.884361,0.0,0.7432912028566192,,,,
gemm_layoutAB_ContinuousC,bf16,3584,144,18944,304300.33802986145,64.25837504683005,332772.73178100586,58.760359189731254,1.0935667503213564,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,160,18944,419965.0138616562,51.734058797471846,326247.8858232498,66.59505138301705,0.7768453920085866,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,176,18944,356664.88111019135,67.00728178678287,328155.2344560623,72.82877639180224,0.9200660110819238,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,192,18944,356053.9335012436,73.22428208452565,327646.73233032227,79.5728786262251,0.9202165781695483,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,208,18944,474650.41279792786,59.50578020043661,327071.1749792099,86.35564762867087,0.6890780375628861,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,224,18944,472068.78662109375,64.43360262328527,327931.7170381546,92.75434801709343,0.6946693497474747,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,240,18944,528182.8343868256,61.70163049284603,328157.09710121155,99.31140410456685,0.621294513446605,2.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,3584,256,18944,528348.6098051071,65.79442229406615,331012.5321149826,105.01835483354061,0.626504027780226,2.0,tk_local_bf16_continuousc_128x128x128_stage4,424875.0,81.817989,0.0,1.2435398951345298,,,,
