family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio
gemm_layoutAB_ContinuousC,fp16,3584,144,18944,314664.0956401825,62.141965095248004,361440.7032728195,54.09973218550468,1.1486556880201735,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,160,18944,374054.53622341156,58.08376216836846,339444.72670555115,64.00598686821401,0.9074738944024221,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,176,18944,361671.67127132416,66.07966863423758,332497.0602989197,71.87776087558285,0.9193339891126894,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,192,18944,358417.6301956177,72.7413817500286,329837.2030258179,79.04442987275527,0.9202594270984908,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,208,18944,375544.6523427963,75.20928060032269,330941.7515993118,85.34566279263849,0.8812314315615096,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,224,18944,370724.1266965866,82.04778275165887,329567.1194791794,92.29407550142945,0.888982118363471,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,240,18944,424327.3288011551,76.80330694719865,329213.2169008255,98.992811973942,0.775847310685706,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,256,18944,421443.95411014557,82.48402002918459,329755.2466392517,105.41876711981368,0.7824415166555438,0.25,tk_local_bf16_continuousc_128x128x128_stage4,432896.0,80.301949,0.0,0.973545530050396
gemm_layoutAB_ContinuousC,bf16,4608,16,3584,117111.95111274719,4.512624877124746,138290.22645950317,3.8215448591716674,1.1808378662086076,1.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,32,3584,104058.53390693665,10.157404379205285,145738.94441127777,7.2524513764641245,1.4005477392331651,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,48,3584,107010.82646846771,14.81576177217148,132286.9211435318,11.98491051341186,1.2362012845729404,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,64,3584,112686.30623817444,18.759415288065142,131949.782371521,16.020710136891093,1.1709477999272704,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,80,3584,174207.61287212372,15.168174779707531,114593.65487098694,23.05896886677459,0.6577993520587638,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,96,3584,111481.17482662201,28.443311876928497,122437.2535943985,25.898112959184086,1.098277388848975,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,112,3584,115498.90041351318,32.02953547397737,185124.57609176636,19.983171365460503,1.6028254418784673,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,128,3584,116571.78401947021,36.26828282300156,127941.37001037598,33.04528028468917,1.097532915761217,0.5,tk_local_bf16_continuousc_128x128x128_stage4,126720.0,33.363783,0.0,0.9199162574865686
gemm_layoutAB_ContinuousC,bf16,4608,144,3584,159749.76122379303,29.773695431925276,132763.75830173492,35.825595756261784,0.8310732816416954,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,160,3584,129740.68522453308,40.733737692643814,145995.98944187164,36.19841243724133,1.1252907227151348,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,176,3584,140519.81270313263,41.37000492792717,143745.91410160065,40.44153449739875,1.0229583383041052,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,192,3584,158816.57600402832,39.93152231061286,166632.23505020142,38.05858840031405,1.0492118596359543,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,208,3584,173162.66894340515,39.675237127728806,145653.26273441315,47.16866497201218,0.8411354688810964,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,224,3584,167958.43839645386,44.051089821017364,145751.9829273224,50.762618164099386,0.8677860089606529,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,240,3584,157153.23388576508,50.44270718451978,144936.14435195923,54.69466981783168,0.9222600182527172,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,4608,256,3584,148948.2820034027,56.76948233486056,189991.66786670685,44.50572469279184,1.2755546107095515,0.0,tk_local_bf16_continuousc_128x128x128_stage4,141824.0,59.621196,0.0,1.0502332159437058
gemm_layoutAB_ContinuousC,bf16,3584,16,3584,160701.57289505005,2.5577956991649393,124454.49829101562,3.3027475715570267,0.7744448050442765,1.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,32,3584,137133.52382183075,5.9947674433574925,120447.94857501984,6.825218641959462,0.8783260665824538,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,48,3584,99916.011095047,12.341619350946328,129913.91122341156,9.491865531470356,1.3002311621490623,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,64,3584,105462.96834945679,15.589995177757281,135654.58357334137,12.12024779915442,1.2862769339456022,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,80,3584,107163.56337070465,19.178243941838105,133514.404296875,15.393162788864,1.2458936610293223,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,96,3584,110160.55941581726,22.387783477848664,133052.46829986572,18.535926341792553,1.2078049440330052,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,112,3584,114986.67299747467,25.022834985956948,131623.81947040558,21.859968473616078,1.1446876063045697,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,128,3584,109396.87490463257,30.05875934633989,134456.90274238586,24.45641888910917,1.229074439828373,0.5,tk_local_bf16_continuousc_128x128x128_stage4,143104.0,22.978633,0.0,0.7644571332847773
