family,dtype,m,n,k,kernel_ns,kernel_tflops,ref_ns,ref_tflops,speedup,max_error,status
gemm_layoutAB_ContinuousC,bf16,4608,48,3584,253144.65165138245,6.263007737502566,272655.8595895767,5.8148279460655665,1.0770753314791106,0.5,ok
gemm_layoutAB_ContinuousC,bf16,4608,64,3584,254660.84480285645,8.300958938687572,293841.5855169296,7.194111794221198,1.1538545933294324,0.5,ok
gemm_layoutAB_ContinuousC,bf16,4608,80,3584,255508.34834575653,10.341781539068387,310627.743601799,8.506682273001891,1.2157244395844724,0.5,ok
gemm_layoutAB_ContinuousC,bf16,4608,96,3584,285143.03267002106,11.120362276813845,268379.22632694244,11.814974904716294,0.9412091321814678,1.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,112,3584,279143.45264434814,13.252598593861025,271582.9759836197,13.621531742192577,0.9729154433352907,0.5,ok
gemm_layoutAB_ContinuousC,bf16,4608,128,3584,254815.44435024261,16.59184529721373,270208.34386348724,15.646661281991976,1.0604080319876026,0.5,ok
gemm_layoutAB_ContinuousC,bf16,4608,144,3584,256819.65053081512,18.520158898157597,272708.0136537552,17.44114766659885,1.0618658388877205,0.5,ok
gemm_layoutAB_ContinuousC,bf16,4608,160,3584,255005.43415546417,20.724354590726506,269325.45006275177,19.622442063194015,1.0561557284248202,0.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,176,3584,253979.11667823792,22.888910789325973,267494.46988105774,21.73243187638572,1.053214427152852,0.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,192,3584,254951.41744613647,24.874494566557285,268828.1238079071,23.59049179144503,1.0544288260907684,0.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,208,3584,255772.84395694733,26.86082637121723,270996.24276161194,25.351901125963543,1.0595192146638799,0.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,224,3584,255884.60266590118,28.91440977267503,268977.1354198456,27.506993278262517,1.0511657701070776,0.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,240,3584,256579.36930656433,30.895837734048047,269051.6412258148,29.463617184727294,1.0486098003629765,0.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,256,3584,254418.70093345642,33.23543761907504,268200.4123926163,31.52760575036607,1.054169412109232,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,16,3584,372348.353266716,1.1039173086004428,383714.2139673233,1.0712185711082463,1.0305248045301971,1.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,32,3584,371225.17824172974,2.214514618576561,271379.9476623535,3.0292716579886103,0.7310386352232815,1.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,48,3584,82006.67798519135,15.036889754547502,105055.04906177521,11.737897293017197,1.2810548072773524,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,64,3584,120226.29380226135,13.67560386336283,103076.91991329193,15.950876000011155,0.8573575434573792,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,80,3584,94821.67661190033,21.674463407896194,141514.46521282196,14.522960298858461,1.4924273675525959,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,96,3584,108087.4353647232,22.817182623290524,425504.52053546906,5.796062398811622,3.9366695962363645,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,112,3584,134479.25448417664,21.39580974802737,115120.7834482193,24.993684526948954,0.8560486440067592,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,128,3584,156924.12853240967,20.954931320971827,271711.4984989166,12.102300985297136,1.7314832399582185,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,144,3584,281188.63701820374,13.156207758710066,278012.82703876495,13.306494406764097,0.9887057670142155,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,160,3584,257076.695561409,15.989072486806284,305380.6722164154,13.459980588054549,1.1878971431055594,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,176,3584,254439.19003009796,17.770295965276222,301156.1930179596,15.013670038425412,1.1836077334719366,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,192,3584,255567.95299053192,19.30015655829405,296939.1644001007,16.61115169487669,1.1618794959440846,1.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,208,3584,257551.6700744629,20.747461254881724,297408.5509777069,17.967012980741565,1.1547529507058552,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,224,3584,121951.10321044922,47.18764272324292,129999.59290027618,44.26617775960569,1.0659976783968719,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,240,3584,124046.57900333405,49.704126704165574,133261.0845565796,46.26727225368046,1.0742826253434838,0.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,256,3584,130368.39663982391,50.44680184392949,130003.31819057465,50.58846776786975,0.9971996399537083,0.0,ok
gemm_layoutAB_ContinuousC,bf16,37888,16,3584,242892.65275001526,17.889791621124804,249767.67599582672,17.397363076207682,1.0283047806015244,0.5,ok
gemm_layoutAB_ContinuousC,bf16,37888,32,3584,239592.045545578,36.2724808672614,254897.40073680878,34.094493952778166,1.0638808987017025,0.5,ok
gemm_layoutAB_ContinuousC,bf16,37888,48,3584,247122.71988391876,52.75070150621265,262632.96604156494,49.635417169742915,1.062763335418661,0.5,ok
gemm_layoutAB_ContinuousC,bf16,37888,64,3584,249247.99799919128,69.73454517398528,267663.97058963776,64.93662833182557,1.0738861404636286,0.5,ok
